序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,aime_Qwen3-32B_S64,64,1,1,3,60,0.11666666666666665,0.462414318964991,48459.0,163001.33333333334,2.8787385221489836e+16,164517222285021.88
2,aime_Qwen3-32B_S32,64,1,1,3,60,0.14444444444444446,0.46226090177338747,49690.0,149690.33333333334,2.629732786200024e+16,156753276906988.1
3,aime_Qwen3-32B_S16,64,1,1,3,60,0.12222222222222222,0.4499553058214237,54475.0,126985.0,2.3787192018793108e+16,145257957055914.66
4,aime_Qwen3-32B_S8,64,1,1,3,60,0.11666666666666665,0.42904457450999983,59158.666666666664,104329.0,2.1651273719157084e+16,134448120761068.08
5,aime_Qwen3-32B_S4,64,1,1,3,60,0.12777777777777777,0.418203781595668,63085.333333333336,101660.0,2.0108402179052e+16,126101893849301.33
6,aime_Qwen3-32B_S2,64,1,1,3,60,0.12222222222222223,0.4062011012488181,71487.0,91867.33333333333,1.7932354637548048e+16,113054759012400.36
7,aime_Qwen3-32B_S1,64,1,1,3,60,0.11111111111111112,0.3914906226760273,80772.33333333333,80772.33333333333,1.4279177336437078e+16,90256185089493.33
8,aime_Qwen3-32B_S32,32,2,1,3,60,0.4000000000000001,0.7059712173685392,71289.66666666667,1699528.3333333333,2622445977007138.0,15394655403656.533
9,aime_Qwen3-32B_S16,32,2,1,3,60,0.33888888888888885,0.6971548408939058,73943.0,940592.0,2010203974822576.2,12116849859282.49
10,aime_Qwen3-32B_S8,32,2,1,3,60,0.2833333333333333,0.6599408813541947,74863.33333333333,500512.3333333333,1662734785334528.0,10216311895691.377
11,aime_Qwen3-32B_S4,32,2,1,3,60,0.24444444444444446,0.6032069463241322,76875.0,265949.3333333333,1253558479074079.2,7762524273163.378
12,aime_Qwen3-32B_S2,32,2,1,3,60,0.19999999999999998,0.5637515110097998,76730.0,146331.66666666666,1153646449401492.0,7193419876232.534
13,aime_Qwen3-32B_S1,32,2,1,3,60,0.15555555555555556,0.45026335879666646,78423.33333333333,78423.33333333333,815778463689153.5,5070899403992.178
14,aime_Qwen3-32B_S16,16,4,2,3,60,0.3499999999999999,0.7324704837990484,71227.66666666667,1596261.3333333333,2056582754956603.8,12403523896422.4
15,aime_Qwen3-32B_S8,16,4,2,3,60,0.3055555555555555,0.7001596783945082,69852.33333333333,858919.6666666666,1662520348179052.0,10202283331282.49
16,aime_Qwen3-32B_S4,16,4,2,3,60,0.25555555555555554,0.6680751279729087,72681.0,475557.3333333333,1353483603109134.2,8391514377380.978
17,aime_Qwen3-32B_S2,16,4,2,3,60,0.22777777777777777,0.6278691294907044,66882.0,258268.0,1161592068956245.2,7240938606318.934
18,aime_Qwen3-32B_S1,16,4,2,3,60,0.1611111111111111,0.5634032622907795,71915.66666666667,143768.33333333334,946191860276380.5,5901210994355.2
19,aime_Qwen3-32B_S8,8,8,2,3,60,0.3333333333333333,0.7238967051391101,82353.0,1079636.6666666667,892296955797580.6,5494909877538.134
