序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
1,aime_Qwen3-4B_S4,4,16,4,1,60,0.2833333333333333,0.7077596340594433,74388,1078168,123237517213056.0,749461897472.0
2,aime_Qwen3-4B_S4,4,16,4,1,60,0.2833333333333333,0.7065779490170202,75563,1107447,123237517213056.0,749461897472.0
3,aime_Qwen3-4B_S4,4,16,4,1,60,0.2833333333333333,0.7060501777189787,75652,1075729,123237517213056.0,749461897472.0
4,aime_Qwen3-4B_S2,4,16,4,1,60,0.2,0.6591757483676489,76341,597878,104760154272878.94,647914322491.7333
5,aime_Qwen3-4B_S2,4,16,4,1,60,0.21666666666666667,0.6579869678414,74160,548911,99745691345561.6,615875890201.6
6,aime_Qwen3-4B_S2,4,16,4,1,60,0.23333333333333334,0.6416106553317525,82229,642908,101546960512503.47,627410027929.6
7,aime_Qwen3-4B_S1,4,16,4,1,60,0.15,0.5707692290585681,89219,359048,87337385164706.14,544514311458.13336
8,aime_Qwen3-4B_S1,4,16,4,1,60,0.2,0.6075823078777749,81488,327488,86223033969732.27,537447682952.5333
9,aime_Qwen3-4B_S1,4,16,4,1,60,0.1,0.5604903851554854,87383,352086,88175404029866.67,549846646109.8667
10,aime_Qwen3-1.7B_S2,2,32,4,1,60,0.11666666666666667,0.6927140988126602,57778,469677,40822067636970.664,238721617373.86667
11,aime_Qwen3-1.7B_S2,2,32,4,1,60,0.11666666666666667,0.6929114544160722,59572,464100,40822067636970.664,238721617373.86667
12,aime_Qwen3-1.7B_S2,2,32,4,1,60,0.11666666666666667,0.6957922157085967,57965,474409,40822067636970.664,238721617373.86667
13,aime_Qwen3-1.7B_S1,2,32,4,1,60,0.11666666666666667,0.5995767764851855,62042,247762,33490203132616.535,199487779067.73334
14,aime_Qwen3-1.7B_S1,2,32,4,1,60,0.08333333333333333,0.6099481699000792,62623,253088,32770792942899.2,194927872264.53333
15,aime_Qwen3-1.7B_S1,2,32,4,1,60,0.08333333333333333,0.6299670659711347,61516,248437,34021757114897.066,202856606011.73334
16,aime_Qwen3-14B_S8,8,8,2,1,60,0.3,0.7083749504761522,83740,1164644,465906966475827.2,2828428659626.6665
17,aime_Qwen3-14B_S8,8,8,2,1,60,0.3,0.6950502477488526,85311,1120838,465906966475827.2,2828428659626.6665
18,aime_Qwen3-14B_S8,8,8,2,1,60,0.3,0.6954020009663734,84230,1123803,465906966475827.2,2828428659626.6665
19,aime_Qwen3-14B_S4,8,8,2,1,60,0.23333333333333334,0.6356138090556027,83881,613490,421108957908731.75,2606344547434.6665
20,aime_Qwen3-14B_S4,8,8,2,1,60,0.26666666666666666,0.6587616099544747,86773,624735,406125289465002.7,2509924596817.067
21,aime_Qwen3-14B_S4,8,8,2,1,60,0.26666666666666666,0.6745575194808903,87346,591168,419978891231893.3,2598487936098.1333
22,aime_Qwen3-14B_S2,8,8,2,1,60,0.23333333333333334,0.6029398456091454,83124,319417,347991114732881.06,2171689566323.2
23,aime_Qwen3-14B_S2,8,8,2,1,60,0.25,0.6252489144522324,88180,332895,347393109077376.0,2167771376371.2
24,aime_Qwen3-14B_S2,8,8,2,1,60,0.23333333333333334,0.6209798254780706,82861,309410,355880550962547.2,2220265178432.0
25,aime_Qwen3-14B_S1,8,8,2,1,60,0.18333333333333332,0.5964148571857281,91672,184141,314647732162107.75,1971771191611.7334
26,aime_Qwen3-14B_S1,8,8,2,1,60,0.2,0.5339273392804134,93815,187970,312042598603686.4,1955336657591.4666
27,aime_Qwen3-14B_S1,8,8,2,1,60,0.2,0.5363460844509634,90294,179356,330567320809830.4,2073219256814.9333
28,aime_Qwen3-1.7B_S1,1,64,4,1,60,0.11666666666666667,0.5891129690473818,63355,252983,34146835134839.465,203649659554.13333
29,aime_Qwen3-1.7B_S1,1,64,4,1,60,0.11666666666666667,0.5891129690473818,63355,252983,34146835134839.465,203649659554.13333
30,aime_Qwen3-1.7B_S1,1,64,4,1,60,0.11666666666666667,0.5891129690473818,63355,252983,34146835134839.465,203649659554.13333
31,aime_Qwen3-32B_S2,2,32,4,1,60,0.21666666666666667,0.7029600361776471,78667,598706,506911117859950.94,3154931603703.467
32,aime_Qwen3-32B_S2,2,32,4,1,60,0.21666666666666667,0.7032669206869391,81472,608858,506911117859950.94,3154931603703.467
33,aime_Qwen3-32B_S2,2,32,4,1,60,0.21666666666666667,0.7009311803816074,81513,597236,506911117859950.94,3154931603703.467
34,aime_Qwen3-32B_S1,2,32,4,1,60,0.16666666666666666,0.6226203044222794,81947,327984,423035724015633.06,2635683824221.8667
35,aime_Qwen3-32B_S1,2,32,4,1,60,0.16666666666666666,0.6135790463431966,84277,337387,438345323444582.4,2733079291008.0
36,aime_Qwen3-32B_S1,2,32,4,1,60,0.2,0.6232518130259556,81783,327162,426831532783752.56,2659802070664.533
37,aime_Qwen3-4B_S1,1,64,4,1,60,0.13333333333333333,0.6333694691045452,75147,300670,83005007667387.73,517476951987.2
38,aime_Qwen3-4B_S1,1,64,4,1,60,0.13333333333333333,0.6333694691045452,75147,300670,83005007667387.73,517476951987.2
39,aime_Qwen3-4B_S1,1,64,4,1,60,0.13333333333333333,0.6333694691045452,75147,300670,83005007667387.73,517476951987.2
40,aime_Qwen3-14B_S32,32,2,1,1,60,0.43333333333333335,0.6693381515431812,81415,1601505,4797009567413794.0,29445298116091.734
41,aime_Qwen3-14B_S32,32,2,1,1,60,0.43333333333333335,0.6885885823237536,80954,1640733,4797009567413794.0,29445298116091.734
42,aime_Qwen3-14B_S32,32,2,1,1,60,0.43333333333333335,0.67921832623743,81787,1656254,4797009567413794.0,29445298116091.734
43,aime_Qwen3-14B_S16,32,2,1,1,60,0.36666666666666664,0.6663641933861798,79112,944596,3260841252470255.0,20227172377745.066
44,aime_Qwen3-14B_S16,32,2,1,1,60,0.3333333333333333,0.6629217907930178,80539,975346,3452856717723025.0,21455554999342.934
45,aime_Qwen3-14B_S16,32,2,1,1,60,0.36666666666666664,0.6588561425735953,81074,884726,3768435765426803.0,23399026654301.867
46,aime_Qwen3-14B_S8,32,2,1,1,60,0.2833333333333333,0.615801819949612,84391,506359,2654715164084770.0,16652176039432.533
47,aime_Qwen3-14B_S8,32,2,1,1,60,0.31666666666666665,0.6304861001603268,80533,476380,2357799903392960.0,14770545129536.0
48,aime_Qwen3-14B_S8,32,2,1,1,60,0.31666666666666665,0.6335506025741228,78962,500862,2805827542934310.5,17621380658001.066
49,aime_Qwen3-14B_S4,32,2,1,1,60,0.25,0.5676800797148424,74878,250209,1477639005666931.2,9279181620663.467
50,aime_Qwen3-14B_S4,32,2,1,1,60,0.2833333333333333,0.565709526718575,76437,257471,1711925584863057.0,10761983809365.334
51,aime_Qwen3-14B_S4,32,2,1,1,60,0.26666666666666666,0.5798259864847429,70155,253796,1503795031775970.2,9446610394346.666
52,aime_Qwen3-14B_S2,32,2,1,1,60,0.26666666666666666,0.497911455987689,80659,154993,953359886467302.4,5991144621721.6
53,aime_Qwen3-14B_S2,32,2,1,1,60,0.2,0.5291913464433993,81686,138018,1112920668636693.4,7003125714329.6
54,aime_Qwen3-14B_S2,32,2,1,1,60,0.23333333333333334,0.5376502397999371,83525,143785,1034149516848738.1,6498450416221.866
55,aime_Qwen3-14B_S1,32,2,1,1,60,0.08333333333333333,0.46301450026536933,70712,70712,580759807961497.6,3637777901405.8667
56,aime_Qwen3-14B_S1,32,2,1,1,60,0.13333333333333333,0.4229151640451515,85311,85311,747472711418756.2,4698722903547.733
57,aime_Qwen3-14B_S1,32,2,1,1,60,0.15,0.45628716253257945,81528,81528,1025909279060876.8,6470759737228.8
58,aime_Qwen3-32B_S8,8,8,2,1,60,0.3333333333333333,0.7292628557225755,83400,1112243,892296955797580.8,5494909877538.134
59,aime_Qwen3-32B_S8,8,8,2,1,60,0.3333333333333333,0.7132467259875489,82205,1061288,892296955797580.8,5494909877538.134
60,aime_Qwen3-32B_S8,8,8,2,1,60,0.3333333333333333,0.7291805337072059,81454,1065379,892296955797580.8,5494909877538.134
61,aime_Qwen3-32B_S4,8,8,2,1,60,0.3333333333333333,0.6892857397702563,87093,583332,717693673342540.8,4461867326344.533
62,aime_Qwen3-32B_S4,8,8,2,1,60,0.25,0.7058040658983757,83019,597233,696037912195694.9,4320156138547.2
63,aime_Qwen3-32B_S4,8,8,2,1,60,0.3,0.6907611165928776,87397,580886,731831926727645.9,4549498269303.467
64,aime_Qwen3-32B_S2,8,8,2,1,60,0.2833333333333333,0.6410456057423872,79792,321355,594221706640597.4,3709123714449.067
65,aime_Qwen3-32B_S2,8,8,2,1,60,0.18333333333333332,0.6426317793204055,83236,327937,598555937498897.1,3736767487342.933
66,aime_Qwen3-32B_S2,8,8,2,1,60,0.2833333333333333,0.6229486485400259,87813,316130,584931226773939.2,3652184196855.467
67,aime_Qwen3-32B_S1,8,8,2,1,60,0.18333333333333332,0.5657587384650997,85583,171279,443099598132650.7,2763488352290.1333
68,aime_Qwen3-32B_S1,8,8,2,1,60,0.21666666666666667,0.557600597517209,85196,170468,413997483975168.0,2577969182353.067
69,aime_Qwen3-32B_S1,8,8,2,1,60,0.16666666666666666,0.5488192511545997,85495,170857,421048932023296.0,2622832578645.3335
70,aime_Qwen3-0.6B_S2,2,32,4,1,60,0.06666666666666667,0.4965580283848022,30086,213608,28231614343014.4,162208848452.26666
71,aime_Qwen3-0.6B_S2,2,32,4,1,60,0.06666666666666667,0.49546003360941615,30477,214967,28231614343014.4,162208848452.26666
72,aime_Qwen3-0.6B_S2,2,32,4,1,60,0.06666666666666667,0.49546003360941615,30348,216743,28231614343014.4,162208848452.26666
73,aime_Qwen3-0.6B_S1,2,32,4,1,60,0.06666666666666667,0.42214792469905105,28442,111378,20856595670041.6,122987712785.06667
74,aime_Qwen3-0.6B_S1,2,32,4,1,60,0.05,0.40403012741595673,28429,109812,22948877246890.668,136141496012.8
75,aime_Qwen3-0.6B_S1,2,32,4,1,60,0.05,0.4217816311340931,28531,111403,23032696124851.2,136668498602.66667
76,aime_Qwen3-1.7B_S16,16,4,2,1,60,0.23333333333333334,0.7238814638389742,67672,1851235,83441215033314.14,399847535808.0
77,aime_Qwen3-1.7B_S16,16,4,2,1,60,0.23333333333333334,0.7077118326482436,70890,1826285,83441215033314.14,399847535808.0
78,aime_Qwen3-1.7B_S16,16,4,2,1,60,0.23333333333333334,0.7216182225542099,69185,1836599,83441215033314.14,399847535808.0
79,aime_Qwen3-1.7B_S8,16,4,2,1,60,0.18333333333333332,0.6756654778016624,66691,947690,59703983311018.664,312613283165.86664
80,aime_Qwen3-1.7B_S8,16,4,2,1,60,0.16666666666666666,0.6598459615893748,69983,971473,64096031169318.4,338972027101.86664
81,aime_Qwen3-1.7B_S8,16,4,2,1,60,0.21666666666666667,0.6685845956997053,71121,938646,63685036896678.4,337084889075.2
82,aime_Qwen3-1.7B_S4,16,4,2,1,60,0.18333333333333332,0.6080880573569268,75216,503490,51104595455901.87,288376717350.4
83,aime_Qwen3-1.7B_S4,16,4,2,1,60,0.16666666666666666,0.6416181152192031,68060,510247,47361702374336.0,264545194696.53333
