序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
1,aime_Qwen3-32B_S64,64,1,1,3,60,0.45,0.6805187248037448,77890.0,3355850.3333333335,1.1514353583610515e+17,656583135767611.8
2,aime_Qwen3-32B_S32,64,1,1,3,60,0.37777777777777777,0.6697770519431488,78794.66666666667,1836240.0,8.61675834468462e+16,511944064227586.8
3,aime_Qwen3-32B_S16,64,1,1,3,60,0.3111111111111111,0.640397244240449,80864.66666666667,995312.6666666666,6.359129647390406e+16,387488326364518.44
4,aime_Qwen3-32B_S8,64,1,1,3,60,0.2611111111111111,0.5973757704402862,79195.33333333333,539749.0,4.64216959951124e+16,287548442607752.5
5,aime_Qwen3-32B_S4,64,1,1,3,60,0.20555555555555557,0.5521929975877748,81708.0,289727.0,3.311862893923133e+16,207163715039240.53
6,aime_Qwen3-32B_S2,64,1,1,3,60,0.15,0.4716968657133025,81753.0,158590.33333333334,2.318625896628547e+16,145913709568179.22
7,aime_Qwen3-32B_S1,64,1,1,3,60,0.11111111111111112,0.3914906226760273,80772.33333333333,80772.33333333333,1.430177815835839e+16,90315097737184.7
8,aime_Qwen3-32B_S32,32,2,1,3,60,0.4000000000000001,0.7059712173685392,71289.66666666667,1699528.3333333333,1.0012479830660882e+17,570610522748091.8
9,aime_Qwen3-32B_S16,32,2,1,3,60,0.33888888888888885,0.6971548408939058,73943.0,940592.0,7.361536352102789e+16,436593066736011.44
10,aime_Qwen3-32B_S8,32,2,1,3,60,0.2833333333333333,0.6599408813541947,74863.33333333333,500512.3333333333,5.3923901004800984e+16,327801348041392.4
11,aime_Qwen3-32B_S4,32,2,1,3,60,0.24444444444444446,0.6032069463241322,76875.0,265949.3333333333,3.9020068386797736e+16,241034414146323.9
12,aime_Qwen3-32B_S2,32,2,1,3,60,0.19999999999999998,0.5637515110097998,76730.0,146331.66666666666,2.7049352845996732e+16,168757168380086.03
13,aime_Qwen3-32B_S1,32,2,1,3,60,0.15555555555555556,0.45026335879666646,78423.33333333333,78423.33333333333,1.761843840211068e+16,110541423494485.33
14,aime_Qwen3-32B_S16,16,4,2,3,60,0.3499999999999999,0.7324704837990484,71227.66666666667,1596261.3333333333,8.486497762575214e+16,483764810258449.06
15,aime_Qwen3-32B_S8,16,4,2,3,60,0.3055555555555555,0.7001596783945082,69852.33333333333,858919.6666666666,6.166816647840991e+16,365637875431751.06
16,aime_Qwen3-32B_S4,16,4,2,3,60,0.25555555555555554,0.6680751279729087,72681.0,475557.3333333333,4.394059381146572e+16,266665874397934.9
17,aime_Qwen3-32B_S2,16,4,2,3,60,0.22777777777777777,0.6278691294907044,66882.0,258268.0,2.9938847306226884e+16,184451119020020.62
18,aime_Qwen3-32B_S1,16,4,2,3,60,0.1611111111111111,0.5634032622907795,71915.66666666667,143768.33333333334,2.047817109010723e+16,127336249342421.33
19,aime_Qwen3-32B_S8,8,8,2,3,60,0.3333333333333333,0.7238967051391101,82353.0,1079636.6666666667,8.695376152240981e+16,476015755103829.3
20,aime_Qwen3-32B_S4,8,8,2,3,60,0.29444444444444445,0.6952836407538365,85836.33333333333,587150.3333333334,6.152472761919876e+16,353261977840603.0
21,aime_Qwen3-32B_S2,8,8,2,3,60,0.25,0.6355420112009394,83613.66666666667,321807.3333333333,4.2432874648709256e+16,251200994569272.88
22,aime_Qwen3-32B_S1,8,8,2,3,60,0.18888888888888888,0.5573928623789696,85424.66666666667,170868.0,2.673608860343227e+16,161571095847657.25
23,aime_Qwen3-32B_S4,4,16,4,3,60,0.26666666666666666,0.7268114921376471,75945.0,1095118.0,6.905508346164247e+16,372167160079010.1
24,aime_Qwen3-32B_S2,4,16,4,3,60,0.21666666666666667,0.6724303574951769,76182.33333333333,581598.3333333334,4.727713543176723e+16,268799666298174.6
25,aime_Qwen3-32B_S1,4,16,4,3,60,0.18333333333333335,0.6059459699005977,81474.0,325617.6666666667,3.2818461820268396e+16,192166194268854.03
26,aime_Qwen3-32B_S2,2,32,4,3,60,0.21666666666666667,0.7023860457487312,80550.66666666667,601600.0,5.708942860677862e+16,303034347884057.6
27,aime_Qwen3-32B_S1,2,32,4,3,60,0.17777777777777778,0.6198170545971439,82669.0,330844.3333333333,3.758307198789007e+16,209001071577170.5
28,aime_Qwen3-32B_S1,1,64,4,3,60,0.16666666666666666,0.6639035159458684,78875.0,315134.0,4.1826268004584104e+16,218821282338534.4
29,aime_Qwen3-14B_S64,64,1,1,3,60,0.4666666666666666,0.6669364494022982,78404.0,3446958.3333333335,6.874997054063497e+16,380533151732629.3
30,aime_Qwen3-14B_S32,64,1,1,3,60,0.4166666666666667,0.637869790265981,78199.66666666667,1856577.6666666667,5.0020351855955736e+16,290880403063543.5
31,aime_Qwen3-14B_S16,64,1,1,3,60,0.3499999999999999,0.6107503790909744,84968.66666666667,1051716.0,3.5599117493989308e+16,213060957075990.75
32,aime_Qwen3-14B_S8,64,1,1,3,60,0.3055555555555555,0.6023928704123194,82067.0,539243.0,2.4782031686267788e+16,151717027506463.28
33,aime_Qwen3-14B_S4,64,1,1,3,60,0.22777777777777777,0.5311934290999066,86057.0,301820.0,1.7449117489494128e+16,108151869906137.61
34,aime_Qwen3-14B_S2,64,1,1,3,60,0.16111111111111112,0.4649428342332748,84972.66666666667,168022.0,1.1591901269497402e+16,72314697183052.8
35,aime_Qwen3-14B_S1,64,1,1,3,60,0.12222222222222222,0.39576665860559385,85469.0,85469.0,7248573810695805.0,45505095847190.76
36,aime_Qwen3-14B_S32,32,2,1,3,60,0.43333333333333335,0.6790483533681216,81385.33333333333,1632830.6666666667,5.800766538080361e+16,323087700290965.3
37,aime_Qwen3-14B_S16,32,2,1,3,60,0.35555555555555557,0.662714042250931,80241.66666666667,934889.3333333334,4.1824941645867224e+16,243305700021976.16
38,aime_Qwen3-14B_S8,32,2,1,3,60,0.3055555555555555,0.6266128408946873,81295.33333333333,494533.6666666667,3.0238912051080012e+16,181529159029883.75
39,aime_Qwen3-14B_S4,32,2,1,3,60,0.26666666666666666,0.5710718643060534,73823.33333333333,253825.33333333334,1.9192972589871692e+16,117662365859373.5
40,aime_Qwen3-14B_S2,32,2,1,3,60,0.2333333333333333,0.5215843474103418,81956.66666666667,145598.66666666666,1.3387544948524854e+16,82715464836342.05
41,aime_Qwen3-14B_S1,32,2,1,3,60,0.12222222222222222,0.4474056089477001,79183.66666666667,79183.66666666667,8664822748613685.0,53985062372633.6
