序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
1,aime_Qwen3-4B_S4,4,16,4,1,60,0.2833333333333333,0.7077596340594433,74388,1078168,1.4081807252772122e+16,48778123177164.8
2,aime_Qwen3-4B_S4,4,16,4,1,60,0.2833333333333333,0.7065779490170202,75563,1107447,1.4081807252772122e+16,48778123177164.8
3,aime_Qwen3-4B_S4,4,16,4,1,60,0.2833333333333333,0.7060501777189787,75652,1075729,1.4081807252772122e+16,48778123177164.8
4,aime_Qwen3-4B_S2,4,16,4,1,60,0.2,0.6591757483676489,76341,597878,8324728795225173.0,33258777591773.867
5,aime_Qwen3-4B_S2,4,16,4,1,60,0.21666666666666667,0.6579869678414,74160,548911,7763699272735744.0,31427419633348.266
6,aime_Qwen3-4B_S2,4,16,4,1,60,0.23333333333333334,0.6416106553317525,82229,642908,9088005352388718.0,35450188104482.13
7,aime_Qwen3-4B_S1,4,16,4,1,60,0.15,0.5707692290585681,89219,359048,5959899308541679.0,25352209885209.6
8,aime_Qwen3-4B_S1,4,16,4,1,60,0.2,0.6075823078777749,81488,327488,5146225175831936.0,22437583169604.266
9,aime_Qwen3-4B_S1,4,16,4,1,60,0.1,0.5604903851554854,87383,352086,5768940499235729.0,25301545600119.465
10,aime_Qwen3-1.7B_S2,2,32,4,1,60,0.11666666666666667,0.6927140988126602,57778,469677,5665896302380489.0,16785356622540.8
11,aime_Qwen3-1.7B_S2,2,32,4,1,60,0.11666666666666667,0.6929114544160722,59572,464100,5665896302380489.0,16785356622540.8
12,aime_Qwen3-1.7B_S2,2,32,4,1,60,0.11666666666666667,0.6957922157085967,57965,474409,5665896302380489.0,16785356622540.8
13,aime_Qwen3-1.7B_S1,2,32,4,1,60,0.11666666666666667,0.5995767764851855,62042,247762,3338332111585169.0,11528930359415.467
14,aime_Qwen3-1.7B_S1,2,32,4,1,60,0.08333333333333333,0.6099481699000792,62623,253088,3478989084961898.5,11745586509888.0
15,aime_Qwen3-1.7B_S1,2,32,4,1,60,0.08333333333333333,0.6299670659711347,61516,248437,3430100956548761.5,11520605513237.334
16,aime_Qwen3-14B_S8,8,8,2,1,60,0.3,0.7083749504761522,83740,1164644,4.360292556176136e+16,223208793623705.6
17,aime_Qwen3-14B_S8,8,8,2,1,60,0.3,0.6950502477488526,85311,1120838,4.360292556176136e+16,223208793623705.6
18,aime_Qwen3-14B_S8,8,8,2,1,60,0.3,0.6954020009663734,84230,1123803,4.360292556176136e+16,223208793623705.6
19,aime_Qwen3-14B_S4,8,8,2,1,60,0.23333333333333334,0.6356138090556027,83881,613490,2.9336337135499372e+16,160377392929779.2
20,aime_Qwen3-14B_S4,8,8,2,1,60,0.26666666666666666,0.6587616099544747,86773,624735,3.0111004035564748e+16,164522546268646.4
21,aime_Qwen3-14B_S4,8,8,2,1,60,0.26666666666666666,0.6745575194808903,87346,591168,2.943656712217984e+16,161627087938231.47
22,aime_Qwen3-14B_S2,8,8,2,1,60,0.23333333333333334,0.6029398456091454,83124,319417,1.9989148049256812e+16,114415195791581.86
23,aime_Qwen3-14B_S2,8,8,2,1,60,0.25,0.6252489144522324,88180,332895,2.142357873876201e+16,121976302699963.73
24,aime_Qwen3-14B_S2,8,8,2,1,60,0.23333333333333334,0.6209798254780706,82861,309410,1.869884821642238e+16,107354639364108.8
25,aime_Qwen3-14B_S1,8,8,2,1,60,0.18333333333333332,0.5964148571857281,91672,184141,1.3601237608645388e+16,79493924023040.0
26,aime_Qwen3-14B_S1,8,8,2,1,60,0.2,0.5339273392804134,93815,187970,1.398749236018645e+16,82189323670873.6
27,aime_Qwen3-14B_S1,8,8,2,1,60,0.2,0.5363460844509634,90294,179356,1.2731882204911924e+16,74295765358037.33
28,aime_Qwen3-1.7B_S1,1,64,4,1,60,0.11666666666666667,0.5891129690473818,63355,252983,4764095531466850.0,12836650364010.666
29,aime_Qwen3-1.7B_S1,1,64,4,1,60,0.11666666666666667,0.5891129690473818,63355,252983,4764095531466850.0,12836650364010.666
30,aime_Qwen3-1.7B_S1,1,64,4,1,60,0.11666666666666667,0.5891129690473818,63355,252983,4764095531466850.0,12836650364010.666
31,aime_Qwen3-32B_S2,2,32,4,1,60,0.21666666666666667,0.7029600361776471,78667,598706,5.708942860677862e+16,303034347884057.6
32,aime_Qwen3-32B_S2,2,32,4,1,60,0.21666666666666667,0.7032669206869391,81472,608858,5.708942860677862e+16,303034347884057.6
33,aime_Qwen3-32B_S2,2,32,4,1,60,0.21666666666666667,0.7009311803816074,81513,597236,5.708942860677862e+16,303034347884057.6
34,aime_Qwen3-32B_S1,2,32,4,1,60,0.16666666666666666,0.6226203044222794,81947,327984,3.710909411018895e+16,206707304887398.4
35,aime_Qwen3-32B_S1,2,32,4,1,60,0.16666666666666666,0.6135790463431966,84277,337387,3.831364162351221e+16,212041898424832.0
36,aime_Qwen3-32B_S1,2,32,4,1,60,0.2,0.6232518130259556,81783,327162,3.7326480229969064e+16,208254011419281.06
37,aime_Qwen3-4B_S1,1,64,4,1,60,0.13333333333333333,0.6333694691045452,75147,300670,8295774618572732.0,27412273572326.4
38,aime_Qwen3-4B_S1,1,64,4,1,60,0.13333333333333333,0.6333694691045452,75147,300670,8295774618572732.0,27412273572326.4
39,aime_Qwen3-4B_S1,1,64,4,1,60,0.13333333333333333,0.6333694691045452,75147,300670,8295774618572732.0,27412273572326.4
40,aime_Qwen3-14B_S32,32,2,1,1,60,0.43333333333333335,0.6693381515431812,81415,1601505,5.800766538080361e+16,323087700290965.3
41,aime_Qwen3-14B_S32,32,2,1,1,60,0.43333333333333335,0.6885885823237536,80954,1640733,5.800766538080361e+16,323087700290965.3
42,aime_Qwen3-14B_S32,32,2,1,1,60,0.43333333333333335,0.67921832623743,81787,1656254,5.800766538080361e+16,323087700290965.3
43,aime_Qwen3-14B_S16,32,2,1,1,60,0.36666666666666664,0.6663641933861798,79112,944596,4.108468008149813e+16,238666023736285.88
44,aime_Qwen3-14B_S16,32,2,1,1,60,0.3333333333333333,0.6629217907930178,80539,975346,4.2215961609452616e+16,245605602278152.53
45,aime_Qwen3-14B_S16,32,2,1,1,60,0.36666666666666664,0.6588561425735953,81074,884726,4.217418324665092e+16,245645474051490.12
46,aime_Qwen3-14B_S8,32,2,1,1,60,0.2833333333333333,0.615801819949612,84391,506359,3.0389644205787508e+16,182316267325572.28
47,aime_Qwen3-14B_S8,32,2,1,1,60,0.31666666666666665,0.6304861001603268,80533,476380,2.9475820845919256e+16,176844477528093.88
48,aime_Qwen3-14B_S8,32,2,1,1,60,0.31666666666666665,0.6335506025741228,78962,500862,3.0851271101533268e+16,185426732235985.06
49,aime_Qwen3-14B_S4,32,2,1,1,60,0.25,0.5676800797148424,74878,250209,1.928320247025915e+16,118126779644044.8
50,aime_Qwen3-14B_S4,32,2,1,1,60,0.2833333333333333,0.565709526718575,76437,257471,1.9955914285020136e+16,122485338789930.67
51,aime_Qwen3-14B_S4,32,2,1,1,60,0.26666666666666666,0.5798259864847429,70155,253796,1.833980101433578e+16,112374979144145.06
52,aime_Qwen3-14B_S2,32,2,1,1,60,0.26666666666666666,0.497911455987689,80659,154993,1.3667451064432554e+16,84285476216738.14
53,aime_Qwen3-14B_S2,32,2,1,1,60,0.2,0.5291913464433993,81686,138018,1.3170233597447778e+16,81408681453734.4
54,aime_Qwen3-14B_S2,32,2,1,1,60,0.23333333333333334,0.5376502397999371,83525,143785,1.3324950183694226e+16,82452236838553.6
55,aime_Qwen3-14B_S1,32,2,1,1,60,0.08333333333333333,0.46301450026536933,70712,70712,8148907465485905.0,50845157370406.4
56,aime_Qwen3-14B_S1,32,2,1,1,60,0.13333333333333333,0.4229151640451515,85311,85311,9034328145912324.0,56193385372509.87
57,aime_Qwen3-14B_S1,32,2,1,1,60,0.15,0.45628716253257945,81528,81528,8811232634442829.0,54916644374984.53
58,aime_Qwen3-32B_S8,8,8,2,1,60,0.3333333333333333,0.7292628557225755,83400,1112243,8.695376152240981e+16,476015755103829.3
59,aime_Qwen3-32B_S8,8,8,2,1,60,0.3333333333333333,0.7132467259875489,82205,1061288,8.695376152240981e+16,476015755103829.3
60,aime_Qwen3-32B_S8,8,8,2,1,60,0.3333333333333333,0.7291805337072059,81454,1065379,8.695376152240981e+16,476015755103829.3
61,aime_Qwen3-32B_S4,8,8,2,1,60,0.3333333333333333,0.6892857397702563,87093,583332,6.262620092945761e+16,360131571418709.3
62,aime_Qwen3-32B_S4,8,8,2,1,60,0.25,0.7058040658983757,83019,597233,6.103006532121662e+16,350600905141128.56
63,aime_Qwen3-32B_S4,8,8,2,1,60,0.3,0.6907611165928776,87397,580886,6.0917916606922056e+16,349053456961971.2
64,aime_Qwen3-32B_S2,8,8,2,1,60,0.2833333333333333,0.6410456057423872,79792,321355,4.161695966953876e+16,245803677302289.06
65,aime_Qwen3-32B_S2,8,8,2,1,60,0.18333333333333332,0.6426317793204055,83236,327937,4.204582596676318e+16,249113118286523.72
66,aime_Qwen3-32B_S2,8,8,2,1,60,0.2833333333333333,0.6229486485400259,87813,316130,4.363583830982582e+16,258686188119005.88
67,aime_Qwen3-32B_S1,8,8,2,1,60,0.18333333333333332,0.5657587384650997,85583,171279,2.6491909785967812e+16,159747058420718.94
68,aime_Qwen3-32B_S1,8,8,2,1,60,0.21666666666666667,0.557600597517209,85196,170468,2.6316633418938556e+16,159311997016644.28
69,aime_Qwen3-32B_S1,8,8,2,1,60,0.16666666666666666,0.5488192511545997,85495,170857,2.739972260539045e+16,165654232105608.53
70,aime_Qwen3-0.6B_S2,2,32,4,1,60,0.06666666666666667,0.4965580283848022,30086,213608,1637342060016827.8,4199890597614.933
71,aime_Qwen3-0.6B_S2,2,32,4,1,60,0.06666666666666667,0.49546003360941615,30477,214967,1637342060016827.8,4199890597614.933
72,aime_Qwen3-0.6B_S2,2,32,4,1,60,0.06666666666666667,0.49546003360941615,30348,216743,1637342060016827.8,4199890597614.933
73,aime_Qwen3-0.6B_S1,2,32,4,1,60,0.06666666666666667,0.42214792469905105,28442,111378,958156569377732.2,2738919256320.0
